Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
,,,,,,,,,
Decision: Deferred,SAT I (breakdown): 760R 800M,ACT (breakdown): 30E 34S 34R 34M,SAT II: 760 Chem,GPA (out of 4.0): n/a,Rank (percentile if rank is unavailable): 5/700,,,,
Decision: DeferredObjective:,SAT I (breakdown): N/A,"ACT (breakdown): 35 C (35 E, 33 M, 35 R, 36 S)","SAT II: 800 Math II, 740 Chemistry, 720 World History, 720 US History",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): N/A,Gender: F,Ethnicity: South asian,Income Bracket: 150k+,School Type: Public
Decision: Accepted,"SAT I (breakdown): 800 Math, 760 Reading, 6/6/6 Essay",ACT (breakdown): N/A,"SAT II: 780 Math II (sophomore year), 800 Physics, 800 Chemistry",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): Top 4ish out of about 750,Gender: Female,Ethnicity: White,Income Bracket: Upper Middle Class,School Type: Public
Decision: Deferred,SAT I (breakdown): 1530 (740 EBRW 790 Math),,"SAT II: 720 Chemistry, 720 Math I",GPA (out of 4.0): 4.0/4.0,Rank (percentile if rank is unavailable): 1/70,Gender: Male,Ethnicity: White,Income Bracket: >$150k,School Type: Public
,"SAT I (breakdown): 1580 (Math 800, Reading 780)",ACT: Taken but not submitted,"SAT II: 800 Math, 800 Physics",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable):,Gender: Male,Ethnicity (Hispanic Y/N/not reported): N,Income Bracket: Too much,"School Type: Large, competitive, public"
Decision: Deferred,"SAT I (breakdown): 1520 (760 R/W, 760 Math)",,SAT II: 760 Chem,GPA (out of 4.0): N/A (I think 3.7ish although school does not do this),Rank (percentile if rank is unavailable): Top 10%,Gender: Male,Ethnicity: Indian,Income Bracket:,School Type: Large Public School
Decision: Accepted,SAT I (breakdown): 1530 (Verbal: 760 Math: 770),,"SAT II: Not submitted (but I took Math 1, Math 2, and Lit)","GPA (out of 4.0): My school doesn't calculate, but on the IB scale I'm ~6.7/7.0","Rank (percentile if rank is unavailable): My school doesn't officially rank, but unofficially 1/54 (pretty sure Princeton didn't see this though)",Gender: Female,Ethnicity: Asian,Income Bracket: < 60k,School Type: Public
Decision: Accepted,"SAT I (breakdown): 1550 (800M, 750E, 23 Essay)","ACT (breakdown): 35C (36S, 35M, 34R, 33E)","SAT II: 800 Math II, 800 Bio M, 730 Physics",GPA (out of 4.0): 4.0,"Rank (percentile if rank is unavailable): Doesn’t rank, but unofficially 1/350",Gender: Female,Ethnicity: SE Asian (1st gen immigrant),Income Bracket: Too much for financial aid but not enough to pay without major loans ,School Type: public
Decision: Accepted,SAT I (breakdown): 1540 (770 both),ACT (breakdown): NA,"SAT II: 780 US History, 730 Lit",GPA (school only uses weighted and out of 100): 99.8,Rank (percentile if rank is unavailable): Doesn't rank,Gender: Male,Ethnicity: Mexican,"Income Bracket: 200,000+",School Type: All boys Catholic
Decision : Deferred,"SAT I (breakdown): 1530 (800 math, 730 EBRW)",ACT (breakdown):None,SAT II: Maths 2 800 Physics 800,GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 7/450 I guess....,Gender: Male,Ethnicity: Indian?,Income Bracket: ~10000$,School Type: Private Coed
Decision: Deferred,"SAT I (breakdown): 1520 (R: 720, M: 800, Essay: 22)",ACT (breakdown): n/a,"SAT II: US history: 750, Math 2: 770",GPA (out of 4.0): 3.97,Rank (percentile if rank is unavailable): 21/500,Gender: Female,Ethnicity: Asian,Income Bracket: upper middle,School Type: large public
Decision: Accepted,"SAT I (breakdown): 1570 (800 Math, 770 ERW)",,"SAT II: 800 Math II, 780 US History",GPA: 3.98/4.0,Rank: N/A,Gender: M,Ethnicity: White,,School Type: Private
Decision: Accepted,SAT I (breakdown): 1520 730 R/W and 790 Math,ACT (breakdown): 35 35 for all except a 34 for English,SAT II: 710 or 720 US History and 680 math 2 lmao,GPA (out of 4.0): 3.97,Rank (percentile if rank is unavailable): top 5 i would guess,Gender: female,Ethnicity: hispanic and central/east asian,Income Bracket: sub 60 k,"School Type: public, 2500+ kids"
Decision: Deferred,"SAT I (breakdown): 1550 (780M, 770R, 6/6/6 essay)","ACT (breakdown): 35 (36E, 36S, 33M, 34R)","SAT II: 800 Math II, 800 US History",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): ~30/350 (school's ranking is weird but 4.0 uw and 10% so not sweating it),Gender: Male,Ethnicity: Multiracial,Income Bracket: Upper Middle Class,School Type: Public
Decision: Deferred,"SAT I (breakdown): 1560 (800 Math, 760 EBR&W, 6-6-6 Essay)","ACT (breakdown): 34 (36 English, 34 Math, 35 Reading, 32 Science, 10 Essay) // didn't send","SAT II: 800 Math 2, 760 US History",GPA (out of 4.0): 3.88,Rank (percentile if rank is unavailable): idk,Gender: Male,Ethnicity: White,Income Bracket: too much for aid,School Type: Catholic
Decision: Deferred,SAT I (breakdown): 790 (R) 800 (M),ACT (breakdown):,SAT II: 800 (math 2) 800 (physics) 800 (chemistry),GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): Top 1%,Gender: M,Ethnicity: Asian,Income Bracket: High,School Type: Suburban Public
Decision: Deferred,"SAT I (breakdown): 1580 (800 Math, 780 English), Essay: 19","ACT (breakdown): 36 in all subsections, Essay: 10","SAT II: 800 Math 2, 800 Chemistry",GPA (out of 4.0): 4.0,"Rank (percentile if rank is unavailable): Officially in top 1% or 330, unofficially rank #2",Gender: Male,Ethnicity: Asian,"Income Bracket: ~$190,000",School Type: Public
Decision: Accepted,SAT I (breakdown):750 M 750 RW: 1500,ACT (breakdown): highest 30 34 E 31 R 27 M 26 S (oof) I hate the ACT,SAT II:770 US history 660 World history (oof),GPA (out of 4.0):3.9,Rank (percentile if rank is unavailable):11/298,Gender:Woman,Ethnicity: Black,Income Bracket: this is slightly complicated since my parents are divorced but technically my income bracket it around 100K with both my parents combined income,"School Type:small town, kinda large, 1100 kids"
Decision: Deferred,"SAT I (breakdown): 1540 (790 M, 750 R/W)",ACT (breakdown):,"SAT II: 760 Math II, 710 Physics",GPA (out of 4.0):,Rank (percentile if rank is unavailable): 3,Gender: Male,Ethnicity: White,Income Bracket: <30k,School Type: Public
Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
Decision: Deferred ,"SAT I (breakdown): 1570 (780 RW, 790 math, 19/24 essay)",,"SAT II: Physics 730, Math II 800","GPA (out of 4.0): 3.98, roughly 4.36 weighted",Rank: 5/450,Gender: F,Ethnicity (Hispanic Y/N/not reported): no,Income Bracket: 125-150,"School Type: public, not particularly competitive either"
,"SAT I 1590 ,800(math) RW(790),essay 18/24...single sitting,taken once",ACT:Did not take,"SAT II:BIO 800,Math 800, Physics 800",GPA (out of 4.0):School only has weighted GPA...4.4 /4.0,Rank (percentile if rank is unavailable):NA,Gender:male,Ethnicity (Hispanic Y/N/not reported):no,Income Bracket:,School Type:Public magnet
Decision: Accepted (lol what!!!!!),SAT I (breakdown): Took it in November (so didn't submit to Princeton) but 1590,ACT: 36 (all 36s except 35 in science),"SAT II: Bio M (800), Math II (800)",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): N/A,Gender: F,Ethnicity (Hispanic Y/N/not reported): N,Income Bracket: 150+,School Type: Public
Decision: Deferred,SAT I (breakdown): N/A,"ACT:33 (36E, 29M, 33R, 34S) 9W","SAT II: 740 US, 720 Lit",GPA (out of 4.0): 3.75-3.85?,Rank (percentile if rank is unavailable):N/A (School doesn't rank),Gender:M,Ethnicity (Hispanic Y/N/not reported):,Income Bracket:idk,School Type: Public
,"SAT I (breakdown): 1510 (720 RW, 780 math, 7/7/7 essay)",ACT: 34 (35/32/34/33),"SAT II: Chem 770, Math II 770,","GPA (out of 4.0): 4.0 uw, 103.98 weighted",Rank: 1/107,Gender: M,Ethnicity (Hispanic Y/N/not reported): no,Income Bracket: ~100k,"School Type: new, small, charter school"
Decision: DEFERRAL,SAT II: Did not take,"ACT (super-scored): 29 = 31 Eng, 29 Reading, 27 Science, 24 in Math",SAT II: Did not take,GPA (out of 4.0): 3.6!,Rank (percentile if rank is unavailable): like 25/400? Not top 10%,Gender: Male,,Income Bracket: Lower middle class,School Type: bad public school
,"SAT I (breakdown): 1510 (770 RW, 740 M)",ACT: n/a,"SAT II: US History-670, Math I-680 (yikes)",GPA (out of 4.0): 97/100,Rank (percentile if rank is unavailable): n/a,Gender: F,Ethnicity (Hispanic Y/N/not reported):,Income Bracket: 125-150K,School Type: Catholic
